X,Y
1,32664.921875
2,31959.355469
3,25583.000000
4,28290.755859
5,28240.843750
6,28658.966797
7,26685.777344
8,24221.478516
9,27500.867188
10,30197.710938
11,29991.333984
12,32523.210938
13,31999.433594
14,27322.144531
15,26585.310547
16,31049.289062
17,34368.132812
18,28538.710938
19,33262.035156
20,26481.876953
21,28225.966797
22,35845.000000
23,30115.355469
24,23699.099609
25,31186.099609
26,29157.277344
27,33398.488281
28,36420.621094
29,24509.255859
30,29585.755859
31,27935.978516
32,30498.578125
33,33476.332031
34,30061.978516
35,28990.744141
36,32028.789062
37,36124.910156
38,33705.332031
39,32046.955078
40,39236.523438
41,34669.812500
42,29362.289062
43,31581.599609
44,27440.199219
45,37742.511719
46,35177.156250
47,29597.623047
48,31348.466797
49,31493.376953
50,31941.099609
51,34978.156250
52,31058.666016
53,27044.656250
54,33670.187500
55,35537.500000
56,33037.722656
57,26228.210938
58,31911.478516
59,35715.656250
60,35730.144531
61,31862.376953
62,31301.978516
63,29485.166016
64,36558.312500
65,29939.966797
66,30818.511719
67,24747.300781
68,32116.400391
69,36731.398438
70,29675.011719
71,33218.855469
72,26574.255859
73,32050.833984
74,32893.277344
75,33886.378906
76,33907.378906
77,32826.312500
78,28412.156250
79,33355.878906
80,31582.611328
81,32990.710938
82,29576.156250
83,27340.433594
84,29921.421875
85,30477.833984
86,30819.623047
87,37620.488281
88,32580.021484
89,26441.566406
90,32161.632812
91,32181.710938
92,27678.033203
93,31832.367188
94,30725.554688
95,35761.933594
96,23652.933594
97,31954.166016
98,31676.222656
99,27450.876953
100,32304.033203
101,28320.554688
102,26215.566406
103,30874.132812
104,29129.388672
105,29551.810547
106,26316.433594
107,34002.011719
108,29495.210938
109,33506.566406
110,26051.289062
111,28743.777344
112,30104.933594
113,30144.933594
114,29000.966797
115,31111.144531
116,33606.957031
117,29931.722656
118,35432.679688
119,24339.189453
120,34777.433594
121,31832.623047
122,29496.421875
123,33415.566406
124,32587.310547
125,31635.277344
126,32379.210938
127,39480.398438
128,32152.099609
129,33049.378906
130,30176.544922
131,29909.833984
132,30193.156250
133,35231.511719
134,32357.833984
135,30488.166016
136,31647.843750
137,27660.123047
138,35259.898438
139,29143.888672
140,25115.511719
141,35387.765625
142,30665.511719
143,36020.011719
144,38239.035156
145,35821.156250
146,37959.656250
147,38422.933594
148,31246.843750
149,27242.511719
150,28194.011719
151,28884.767578
152,32787.843750
153,34125.812500
154,33299.589844
155,30753.089844
156,39087.320312
157,36977.746094
158,33345.945312
159,33582.121094
160,28649.755859
161,33304.957031
162,33286.566406
163,29925.078125
164,37262.167969
165,35924.464844
166,35109.601562
167,37578.042969
168,29106.500000
169,31035.689453
170,32969.957031
171,36118.464844
172,32261.632812
173,33404.390625
174,33994.789062
175,34033.011719
176,27960.843750
177,29298.177734
178,35183.210938
179,31461.554688
180,33414.300781
181,33865.734375
182,37766.855469
183,34135.945312
184,33598.812500
185,37315.000000
186,38672.867188
187,33442.101562
188,30525.900391
189,36528.398438
190,32716.466797
191,36571.101562
192,31794.666016
193,32271.089844
194,32020.410156
195,30171.144531
196,36611.535156
197,31437.222656
198,35917.843750
199,36475.023438
200,29527.123047
201,44344.332031
202,33883.476562
203,35594.945312
204,31250.521484
205,30727.589844
206,35135.898438
207,31914.445312
208,34174.101562
209,32806.687500
210,29792.322266
211,33040.722656
212,35320.332031
213,33578.621094
214,34206.390625
215,35680.511719
216,33015.843750
217,42074.144531
218,30873.421875
219,37098.367188
220,34101.535156
221,33497.554688
222,35286.089844
223,33498.578125
224,36745.898438
225,36612.332031
226,37084.421875
227,31238.310547
228,28846.677734
229,29663.933594
230,29229.933594
231,29542.244141
232,29030.699219
233,27506.888672
234,30786.699219
