X,Y
1,29846.054688
2,30236.687500
3,29096.105469
4,32709.361328
5,29900.421875
6,32823.800781
7,31910.146484
8,31992.722656
9,30186.216797
10,24286.830078
11,30425.095703
12,29382.970703
13,33361.792969
14,30092.492188
15,32138.089844
16,32555.201172
17,31039.593750
18,31996.201172
19,30158.216797
20,31129.552734
21,31859.326172
22,29115.546875
23,32841.523438
24,33158.476562
25,31677.875000
26,32963.199219
27,31958.386719
28,34348.234375
29,28332.421875
30,24834.652344
31,29167.617188
32,30770.300781
33,31451.371094
34,28565.115234
35,32288.476562
36,32809.128906
37,27525.361328
38,26711.523438
39,30418.054688
40,28192.382812
41,29317.929688
42,32990.617188
43,28464.015625
44,33154.507812
45,28293.498047
46,32746.804688
47,35617.066406
48,36680.695312
49,31897.251953
50,30446.070312
51,31888.210938
52,34032.980469
53,34706.261719
54,30872.814453
55,35295.117188
56,35015.707031
57,33060.312500
58,31602.859375
59,28238.542969
60,32049.833984
61,32128.035156
62,34011.246094
63,32933.703125
64,33649.785156
65,28742.412109
66,32799.648438
67,29104.322266
68,35729.933594
69,31824.386719
70,33127.546875
71,34945.226562
72,30998.542969
73,32358.638672
74,32697.181641
75,32706.121094
76,31950.939453
77,32644.125000
78,27212.712891
79,27943.738281
80,34091.015625
81,30188.929688
82,32838.058594
83,30369.914062
84,30165.859375
85,29143.533203
86,29338.814453
87,26332.261719
88,36532.496094
89,35207.285156
90,32718.642578
91,33460.730469
92,33396.914062
93,31859.265625
94,33573.000000
95,34333.757812
96,31100.160156
97,30449.718750
98,32009.326172
99,32322.341797
100,32447.572266
101,36055.046875
102,31523.035156
103,33135.234375
104,30911.080078
105,34221.000000
106,31002.763672
107,31090.673828
108,32893.425781
109,30182.361328
110,31094.843750
111,33977.863281
112,36299.128906
113,33000.058594
114,34973.777344
115,26856.347656
116,31474.501953
117,39888.496094
118,30862.035156
119,34033.046875
120,34571.601562
121,32202.830078
122,33918.457031
123,30472.623047
124,28642.246094
125,34723.734375
126,32419.769531
127,33072.609375
128,29217.894531
129,31525.763672
130,36110.875000
131,33300.882812
132,35079.152344
133,35218.644531
134,36046.875000
135,32399.808594
136,30156.734375
137,35416.574219
138,32774.191406
139,34305.671875
140,37275.511719
141,34870.261719
142,31793.255859
143,35220.953125
144,32499.361328
145,36792.441406
146,29032.878906
147,35016.953125
148,31805.191406
149,36171.339844
150,36594.136719
151,32629.929688
152,31962.035156
153,34224.933594
154,31294.402344
155,31480.884766
156,38159.949219
157,31512.427734
158,32298.085938
159,33373.152344
160,35575.652344
161,34939.699219
162,37391.628906
163,41332.015625
164,30569.169922
165,33003.875000
166,31597.603516
167,33769.277344
168,33833.246094
169,32757.667969
170,32167.533203
171,33198.296875
172,34212.347656
173,33680.546875
174,34801.574219
175,33666.636719
176,30201.015625
177,32182.185547
178,28756.300781
179,30385.261719
180,36832.882812
181,31541.558594
182,27433.683594
183,33315.804688
184,28107.673828
185,29834.935547
186,31967.648438
187,32302.632812
188,30524.341797
189,34633.031250
190,33024.316406
191,31814.648438
192,34679.507812
193,30838.029297
194,35660.507812
195,33837.292969
196,32520.562500
197,32212.964844
198,28151.542969
199,35470.332031
200,33291.328125
201,30229.728516
202,32273.703125
203,30546.734375
204,35209.058594
205,30463.894531
206,35952.722656
207,32626.587891
208,34236.507812
209,33862.578125
210,35070.375000
211,35703.601562
212,31854.300781
213,26978.492188
214,29939.818359
215,33447.386719
216,30882.664062
217,29079.335938
218,34769.843750
219,33966.054688
220,33924.812500
221,32863.156250
222,32984.699219
223,30920.099609
224,33860.468750
225,30324.125000
226,33525.335938
227,36650.292969
228,29180.281250
229,32121.312500
230,29682.335938
231,31569.111328
232,32900.441406
233,30876.542969
234,33256.105469
235,32756.382812
236,28387.175781
237,30696.261719
238,33172.839844
239,33842.750000
240,31432.582031
241,25587.296875
242,25295.160156
243,29741.044922
244,33478.664062
245,36215.082031
246,31528.501953
247,35908.593750
248,32379.265625
249,31572.718750
250,31938.648438
251,31664.546875
252,36499.164062
253,34405.222656
254,32674.296875
255,33769.382812
256,31154.095703
257,35761.660156
258,30373.421875
259,35088.199219
260,35225.554688
261,31219.935547
262,36582.671875
263,30288.658203
264,32719.462891
265,33871.738281
266,30094.552734
267,34819.546875
268,38555.425781
269,31393.734375
270,30387.865234
271,35493.628906
272,32371.900391
273,37759.800781
274,31303.265625
275,31308.623047
276,32424.683594
277,37140.085938
278,32338.255859
279,34827.425781
280,32128.392578
281,37034.214844
282,31629.482422
283,30108.316406
284,34642.562500
285,35203.925781
286,30432.542969
287,34151.046875
288,32936.003906
289,33935.945312
290,34684.085938
291,30043.935547
292,35974.613281
293,32138.687500
294,33596.320312
295,38252.929688
296,34903.835938
297,29894.347656
298,33453.140625
299,38122.222656
300,38585.683594
301,38778.750000
302,35198.277344
303,33447.578125
304,39002.199219
305,33746.558594
306,36864.125000
307,36556.722656
308,32528.466797
309,32656.111328
310,38185.523438
311,36073.742188
312,34805.546875
313,32277.652344
314,34055.773438
315,35976.988281
316,35923.453125
317,37696.953125
318,34072.312500
319,37152.507812
320,34864.789062
321,30306.748047
322,37289.566406
323,31739.166016
324,31549.562500
325,32905.019531
326,36145.617188
327,34101.000000
328,31364.664062
329,26112.312500
330,30573.939453
331,27553.005859
332,29134.517578
333,28891.406250
334,29243.005859
335,27205.089844
336,22702.265625
337,29750.677734
338,27742.974609
339,29051.160156
340,29995.763672
341,21539.894531
342,26881.642578
343,27298.658203
344,25597.578125
345,23782.357422
346,29358.367188
347,23583.562500
348,18914.830078
349,22972.562500
350,18625.281250
351,24982.386719
352,21161.150391
353,22598.427734
354,22522.251953
355,19862.974609
356,20635.125000
357,18884.291016
358,17286.121094
359,12423.206055
360,15860.477539
361,20931.185547
362,14073.170898
363,17794.347656
364,16522.753906
365,19854.990234
366,14529.084961
