X,Y
1,32911.078125
2,32885.195312
3,32837.218750
4,32878.410156
5,32813.496094
6,32823.402344
7,32787.707031
8,32750.968750
9,32752.236328
10,32749.527344
11,32687.921875
12,32706.630859
13,32772.496094
14,32780.332031
15,32816.332031
16,32813.195312
17,32796.960938
18,32769.589844
19,32796.566406
20,32762.566406
21,32762.369141
22,32783.480469
23,32775.835938
24,32715.708984
25,32739.259766
26,32762.914062
27,32706.613281
28,32742.503906
29,32746.898438
30,32791.488281
31,32818.628906
32,32711.574219
33,32772.597656
34,32858.566406
35,32814.363281
36,32873.730469
37,32908.000000
38,32808.308594
39,32860.300781
40,32882.898438
41,32827.242188
42,32923.195312
43,32929.898438
44,32955.425781
45,32901.417969
46,32877.765625
47,32899.636719
48,32942.085938
49,32873.164062
50,32881.171875
51,32980.968750
52,32935.179688
53,32995.378906
54,32909.714844
55,32865.765625
56,32860.140625
57,32868.589844
58,32992.867188
59,32852.464844
60,32957.605469
61,32889.675781
62,32951.253906
63,32874.820312
64,32959.675781
65,32878.707031
66,32967.218750
67,32937.574219
68,32945.589844
69,32911.558594
70,32941.707031
71,32907.117188
72,32941.218750
73,32943.093750
74,32950.496094
75,32968.292969
76,32935.765625
77,32868.292969
78,32861.339844
79,32904.300781
80,32921.929688
