X,Y
1,32575.402344
2,32619.853516
3,32681.296875
4,32691.472656
5,32766.466797
6,32793.730469
7,32768.984375
8,32908.953125
9,32812.457031
10,32814.890625
11,32774.871094
12,32771.332031
13,32661.205078
14,32670.300781
15,32670.134766
16,32678.648438
17,32694.185547
18,32734.277344
19,32735.888672
20,32769.789062
21,32827.527344
22,32823.269531
23,32771.472656
24,32761.517578
25,32837.828125
26,32775.601562
27,32819.765625
28,32816.730469
29,32737.910156
30,32795.648438
31,32771.121094
32,32798.503906
33,32841.480469
34,32837.019531
35,32764.271484
36,32751.949219
37,32709.804688
38,32624.673828
39,32656.853516
40,32828.101562
41,33564.398438
42,34426.019531
43,34941.718750
44,35345.718750
45,35497.488281
46,35659.492188
47,35671.277344
48,35589.367188
49,35454.179688
50,35327.988281
51,35410.777344
52,35343.144531
53,35153.460938
54,35223.156250
55,35187.601562
56,35188.996094
57,35035.546875
58,35126.734375
59,35085.195312
60,34959.070312
61,34996.976562
62,34949.843750
63,34968.984375
64,34881.152344
65,34972.328125
66,34912.601562
67,34940.941406
68,34887.320312
69,34781.382812
70,34870.558594
71,34878.457031
72,34776.835938
73,34875.882812
74,34929.128906
75,34854.941406
76,34902.222656
77,34807.117188
78,34763.398438
79,34846.066406
80,34785.085938
